formation,location,name,periode,startDate
"Bac+4, ISMAG",  Rabat,Stagiaire en Achats &amp; approvisionnement ,6 mois,06/02/2023
"Bac+5, FSJES Ain Sebaa",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,16/01/2023
"Bac+5, FST Errachidia",  Erfoud,"Stagiaire en BTP, Construction &amp; Architecture ",6 mois,20/02/2023
"Bac+5, ESI",  Rabat,Stagiaire en Big Data &amp; Cloud Computing ,4 mois,01/02/2023
"Bac+3, Autre",  Agadir,"Stagiaire en Physique, Chimie &amp; Biologie ",4 mois,15/01/2023
"Bac+4, Fac. Polydiscip…",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/02/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Comptabilité Audit et Finance ,4 mois,20/01/2023
"Bac+3, FSJES Rabat",  Rabat,Stagiaire en Comptabilité Audit et Finance ,6 mois,04/01/2023
"Bac+5, UPF",  Fès,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+2, FSJES Mohammedi…",  Casablanca,Stagiaire en Banque Assurance &amp; Bourse ,2 mois,08/01/2023
"Bac+5, ENCG Fès",  El,Stagiaire en Contrôle de gestion ,5 mois,01/02/2023
"Bac+4, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,1 mois,23/01/2023
"Bac+3, Autre",  Nzérékoré,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/02/2023
"Bac+5, Emsi Casablanca",  Salé,Stagiaire en Génie Civil ,6 mois,03/01/2023
"Bac+2, ISTA ",  Rabat,Stagiaire en Design ,3 mois,03/01/2023
"Bac+2, ISIM ",  Youssoufia,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",3 mois,04/01/2023
"Bac+3, FSJES Rabat",  Rabat,Stagiaire en Economie et gestion ,2 mois,09/01/2023
"Bac+5, UPF",  Fès,Stagiaire en Comptabilité Audit et Finance ,6 mois,03/01/2023
"Bac+4, FSJES Ain Chock",  Casablanca,Stagiaire en Economie et gestion ,4 mois,03/01/2023
"Bac+5, Ensa Tanger",  Mohammédia,Stagiaire en Génie Industriel ,6 mois,15/02/2023
"Bac+4, Fac. Polydiscip…",  Agadir,Stagiaire en Commerce International ,3 mois,15/02/2023
"Bac+5, Univ. Ibnou Zoh…",  Oulad Teima,Stagiaire en Environnement &amp; Énergies Renouvelables ,4 mois,03/01/2023
"Bac+2, FSJES Ain Chock",  Casablanca,Stagiaire en Gestion Comptable ,3 mois,10/01/2023
"Niveau Bac, Autre",  Fès,Stagiaire en Transport &amp; logistique ,1 mois,01/04/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Economie et gestion ,2 mois,09/01/2023
"Bac+4, ENCG Casablanca",  Casablanca,Stagiaire en Commerce ,1 mois,19/01/2023
"Bac+5, ENCG Kénitra",  Khémisset,Stagiaire en Comptabilité Audit et Finance ,6 mois,09/01/2023
"Bac+3, Autre",  Conakry,Stagiaire en Commerce International ,3 mois,01/02/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,1 mois,23/01/2023
"Bac+2, Autre",  Meknès,Stagiaire en Sécurité des Systèmes d'Information ,1 mois,01/02/2023
"Bac+5, ENSET Mohammedi…",  Mohammédia,Stagiaire en Génie Électrique ,5 mois,01/02/2023
"Bac+5, FST Fès",  Fès,"Stagiaire en Physique, Chimie &amp; Biologie ",4 mois,01/02/2023
"Bac+5, FSJES Ain Chock",  Bouznika,Stagiaire en Supply Chain ,6 mois,16/01/2023
"Bac+4, FST Errachidia",  Ouarzazate,Stagiaire en Environnement &amp; Énergies Renouvelables ,5 mois,01/02/2023
"Bac+3, FSJES Ain Sebaa",  Casablanca,Stagiaire en Economie et gestion ,3 mois,01/02/2023
"Bac+5, ENCG Settat",  Settat,Stagiaire en Gestion Comptable ,6 mois,03/01/2023
"Bac+3, Fac. Polydiscip…",  Azilal,Stagiaire en Comptabilité Audit et Finance ,3 mois,09/01/2023
"Bac+4, Autre",  Douala,Stagiaire en Comptabilité Audit et Finance ,3 mois,01/02/2023
"Bac+2, ISTA ",  Marrakech,Stagiaire en Gestion des Entreprises et des Administrations ,6 mois,03/01/2023
"Bac+2, Autre",  Errachidia,Stagiaire en Energies Renouvelables ,3 mois,20/03/2023
"Bac+3, Autre",  Marrakech,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",2 mois,01/02/2023
"Bac+3, FSJES Tétouan",  Fès,Stagiaire en Management &amp; Stratégie ,3 mois,03/01/2023
"Bac+5, ENSAM Méknes",  Fès,Stagiaire en Maintenance Industrielle des Systèmes Électromécaniques ,5 mois,01/02/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Economie et gestion ,2 mois,03/01/2023
"Bac+3, FSJES Ain Sebaa",  Fkih Ben Salah,Stagiaire en Ingénierie en Finance et Actuariat ,2 mois,10/01/2023
"Bac+5, ENCG El Jadida",  Khémisset,Stagiaire en Achats &amp; approvisionnement ,4 mois,09/01/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Audit ,5 mois,30/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Banque Assurance &amp; Bourse ,6 mois,01/02/2023
"Bac+4, ENCG Casablanca",  Casablanca,Stagiaire en Ingénierie en Finance et Actuariat ,4 mois,01/02/2023
"Bac+1, EST Meknès",  Mohammédia,Stagiaire en Génie Informatique ,2 mois,01/04/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Ingénierie en Finance et Actuariat ,4 mois,01/02/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Audit ,6 mois,16/01/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Audit ,5 mois,30/01/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Gestion des Entreprises et des Administrations ,6 mois,03/01/2023
"Bac+5, ENCG Settat",  Settat,Stagiaire en Comptabilité Audit et Finance ,6 mois,16/01/2023
"Bac+3, FS Tétouan",  Tanger,"Stagiaire en Physique, Chimie &amp; Biologie ",3 mois,03/01/2023
"Bac+5, ENCG El Jadida",  El Jadida,Stagiaire en Gestion Logistique &amp; Transport ,4 mois,15/01/2023
"Bac+5, FST Settat",  Casablanca,Stagiaire en Supply Chain ,6 mois,03/01/2023
"Bac+5, ENCG Kénitra",  Rabat,Stagiaire en Gestion Comptable ,3 mois,03/01/2023
"Bac+5, Univ. Abdelmale…",  Tétouan,Stagiaire en Energies Renouvelables ,4 mois,01/03/2023
"Bac+5, FSJES Mohammedi…",  Mohammédia,Stagiaire en Contrôle de gestion ,3 mois,01/03/2023
"Bac+2, Autre",  Kénitra,Stagiaire en Génie Mécanique &amp; Productique ,4 mois,01/02/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Management de la Qualité ,6 mois,08/01/2023
"Bac+4, Emlyon",  Casablanca,Stagiaire en Commerce &amp; Management ,6 mois,03/01/2023
"Bac+5, FSJES Mohammedi…",  Rabat,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/02/2023
